prec,fatalities
0.0,25.0
9.55e-07,1.0
1.905e-06,14.0
2.5433333333333333e-06,13.0
2.86e-06,4.0
2.861333333333333e-06,1.0
3.178e-06,0.0
3.18e-06,5.0
3.814e-06,7.0
3.815e-06,15.0
4.29e-06,5.0
4.45e-06,8.0
4.968e-06,2.0
5.005e-06,0.0
5.0075e-06,3.0
5.2575e-06,4.0
5.348e-06,6.0
5.709999999999999e-06,7.0
5.724000000000001e-06,6.0
5.728333333333333e-06,9.0
5.736666666666666e-06,3.0
6.205e-06,2.0
6.21e-06,22.0
6.369999999999999e-06,126.0
6.66e-06,11.0
6.6816666666666665e-06,2.0
6.7e-06,4.0
7.16e-06,0.0
7.605e-06,6.0
7.635e-06,17.0
7.637500000000001e-06,21.0
8.026e-06,3.0
8.11e-06,2.0
8.112499999999999e-06,1.0
8.2008e-06,3.0
8.273333333333334e-06,0.0
8.387999999999998e-06,119.0
8.593333333333335e-06,12.0
8.602500000000001e-06,0.0
8.7668e-06,6.0
8.819999999999999e-06,6.0
8.913333333333335e-06,9.0
9.055e-06,2.0
9.0575e-06,2.0
9.0625e-06,4.0
9.08e-06,36.0
9.168e-06,6.0
9.5275e-06,6.0
1.00125e-05,0.0
1.017e-05,6.0
1.0176666666666669e-05,30.0
1.0183333333333331e-05,4.0
1.0292e-05,2.0
1.04825e-05,3.0
1.05e-05,3.0
1.1436666666666668e-05,22.0
1.1446e-05,17.0
1.1826e-05,4.0
1.2084666666666665e-05,3.0
1.2400000000000002e-05,3.0
1.241e-05,30.0
1.2728333333333337e-05,7.0
1.33275e-05,1.0
1.3333333333333332e-05,15.0
1.335e-05,46.0
1.3361666666666668e-05,1.0
1.3362e-05,8.0
1.3742e-05,3.0
1.397e-05,3.0
1.3988999999999998e-05,3.0
1.4485999999999998e-05,1.0
1.462888888888889e-05,4.0
1.50175e-05,2.0
1.526e-05,2.0
1.5266e-05,0.0
1.5268e-05,3.0
1.537875e-05,19.0
1.557166666666667e-05,1.0
1.5906666666666668e-05,8.0
1.6204999999999998e-05,21.0
1.62075e-05,3.0
1.6402e-05,11.0
1.645e-05,4.0
1.6518e-05,1.0
1.654666666666667e-05,4.0
1.67e-05,1.0
1.6925e-05,120.0
1.7175e-05,7.0
1.7491666666666667e-05,1.0
1.7548e-05,3.0
1.7632499999999998e-05,1.0
1.765e-05,58.0
1.78e-05,21.0
1.7939999999999998e-05,9.0
1.8127333333333332e-05,2.0
1.81275e-05,5.0
1.8322e-05,8.0
1.8382727272727275e-05,29.0
1.859625e-05,20.0
1.8691e-05,56.0
1.8766666666666668e-05,97.0
1.877166666666667e-05,3.0
1.885e-05,4.0
1.888e-05,0.0
1.9065e-05,2.0
1.92925e-05,3.0
1.979375e-05,4.0
2.00275e-05,1.0
2.0390000000000003e-05,16.0
2.0825e-05,7.0
2.1081111111111116e-05,6.0
2.140142857142857e-05,4.0
2.152428571428572e-05,29.0
2.160833333333333e-05,2.0
2.1781666666666665e-05,0.0
2.206e-05,10.0
2.20675e-05,4.0
2.2937142857142857e-05,21.0
2.358e-05,3.0
2.3605e-05,1.0
2.415666666666667e-05,47.0
2.427714285714285e-05,0.0
2.4403999999999995e-05,1.0
2.4404e-05,3.0
2.448833333333333e-05,1.0
2.467571428571429e-05,2.0
2.512e-05,4.0
2.5182e-05,3.0
2.5186e-05,10.0
2.52775e-05,20.0
2.5433333333333333e-05,3.0
2.5542e-05,1.0
2.5740000000000004e-05,5.0
2.5741666666666668e-05,31.0
2.588714285714285e-05,55.0
2.637333333333333e-05,1.0
2.657285714285714e-05,4.0
2.664857142857143e-05,1.0
2.6704e-05,4.0
2.6710000000000003e-05,2.0
2.7164285714285712e-05,3.0
2.718125e-05,3.0
2.7456666666666667e-05,31.0
2.7662e-05,42.0
2.7680000000000003e-05,4.0
2.8244e-05,18.0
2.86e-05,12.0
2.8871666666666667e-05,3.0
2.9320000000000004e-05,14.0
2.9368e-05,6.0
2.957e-05,1.0
3.0225555555555555e-05,27.0
3.0508000000000003e-05,33.0
3.052e-05,1.0
3.060400000000001e-05,18.0
3.079571428571429e-05,1.0
3.112e-05,2.0
3.146833333333333e-05,8.0
3.167e-05,1.0
3.21675e-05,11.0
3.218833333333333e-05,10.0
3.243e-05,31.0
